contrast,distinctiveness,realism,fidelity,compactness
0,0.12889541708291652,1.0067148976824456,0.34153846153846157,1.0
0,0.08121153846153857,0.1282147589990138,0.6158653846153845,0
0,0.012432255244755167,1.0411708960581274,0.08329326923076924,0
0,0.2998560814185809,0.9462873454670329,0.402764423076923,1.0
0.18088942307692307,0.13851467282717228,1.049082455004931,0.11483173076923082,0
0,0.23742669830169771,0.1346735295954046,0.6202163461538461,0
0,0.06616514735264746,0.24776016804650852,0.5616346153846153,0.75
0,0.08055294705294719,0.15665815077880263,0.5275721153846153,1.0
0,0.1867013611388606,0.9591612554112553,0.603605769230769,0.5
0,0.010964348151848099,0.22898082353010235,0.5581971153846154,1.0
0.19819711538461535,0.09195897852147861,1.0546289188752425,0.3241586538461539,0.75
0,0.26897340159840105,1.0452416044080355,0.24026442307692308,0
0,0.3803937312687308,0.09917005670611441,0.607451923076923,0.5
0.3698317307692307,0.012389860139860152,0.9652174460900775,0.1385096153846153,0
0,0.02278078171828167,0.1321907614130465,0.6484375000000001,1.0
0,0.013352584915084877,0.19029932740870245,0.39834134615384614,1.0
0.37524038461538456,0.15142626123876068,1.0040965499550414,0.12713942307692308,0.25
0,0.022531031468531425,0.1297295875944066,0.6484375,1.0
0,0.020268356643356574,0.08047369662294719,0.6328125000000001,0.25
0.34050480769230757,0.49309072177822105,0.9093205377060722,0.41192307692307684,1.0
0.4953125,0.3410113636363642,0.13707320703458503,0.05607142857142856,0.5
0,0.016937615955473093,0.2394017607042817,0.4049107142857143,0.75
-0.007924107142857136,0.1931202458256035,0.16748763485945076,0.4164285714285715,0.75
0,0.16348562152133642,0.15567889655862344,0.29609375,0.5
0.15926339285714283,0.33553571428571527,1.0142977503501398,0.4408482142857142,0
0.42566964285714276,0.23716541048237455,0.924407867313592,0.24339285714285716,0
0.5169642857142858,-0.0412103432282005,0.010617579964678195,0.2723660714285715,0
0,0.611421556122447,0.8298846270916584,0.6562499999999998,1.0
0,0.14094202226345137,0.17971244747899162,0.40486607142857145,0
0.393861607142857,0.3569982026901674,0.05989964524562737,0.22944196428571428,1.0
0.15558035714285712,0.17961467996289476,0.21850406339327685,0.2705803571428571,0.25
0,0.043538439239331934,0.08368045595642104,0.3591517857142857,0.75
-0.10970982142857143,0.12203322124304253,0.1678142903796134,0.4609375,0
0.20100446428571425,-0.07139245129870148,0.2404194664644704,0.3521651785714286,0.25
0.1224330357142857,0.0033024118738404257,0.1469275105875684,0.33151785714285714,0
0,-0.0063775510204081695,0.14465828799468505,0.2558482142857143,1.0
0.0760044642857143,0.027078965677179965,0.1687447230283814,0.3754241071428571,0
0,0.09504928107606656,0.13468138818027214,0.43024553571428564,0.75
0,0.5763118042671596,0.9227489697802197,0.6189955357142857,1.0
0,0.2527580009276449,0.9312444196428572,0.6143973214285714,0.25
0,0.19584253246753203,0.17971316010378513,0.6615625,1.0
0,0.20014935064935027,0.18598672849821746,0.7265624999999998,0
0,0.319840097402597,0.9407952724358976,0.5125,1.0
0,0.13170129870129807,0.9692801339285715,0.2109375,0.25
0,0.32565340909090856,0.9763912259615385,0.4578125,1.0
0,0.41230844155844104,0.09009114583333333,0.5665625000000001,0.5
0,0.339611201298701,1.0387131358225106,0.12625000000000006,1.0
0,0.34630438311688266,0.9422786458333334,0.44218749999999996,1.0
0,0.3905064935064932,0.948471731240573,0.6187500000000001,1.0
0.0578125,0.17538555194805136,0.9860539215686276,0.1515625,0
0,0.06674918831168841,0.2004029656005759,0.46593750000000006,1.0
0,0.10217370129870142,0.18518438057040998,0.6203125,0.25
0.20781250000000004,0.05936931818181829,0.3069178921568627,0.5096875000000001,0.5
0,0.2713246753246748,0.25655004309416074,0.5721875,0
0,0.04636363636363642,0.9737487599206351,0.20156250000000003,0
0,0.366777597402597,0.1993890056022409,0.4696875000000001,1.0
0,0.01909902597402591,0.12613092177430413,0.6328125,0
0,0.33604058441558404,1.0358110119047623,0.5093749999999999,0
0,0.3276639610389607,0.9489639787296038,0.3796875,1.0
0,0.15373944805194747,0.19797424083269677,0.5900000000000001,0.75
0,0.029991570929070857,0.21611078522878577,0.651622596153846,0.25
0.40474759615384615,0.37659893231768143,0.8574147557201355,0.46346153846153854,1.0
0,0.41888555194805116,0.9725211107001953,0.4820913461538462,1.0
0,0.2857597090409588,0.1793057172018215,0.68359375,1.0
0,0.19156081418581392,0.22799701241443326,0.6657451923076924,0.5
0.18936298076923078,0.31922546203796126,1.014442195964306,0.2612259615384616,0
0.18972355769230764,0.07647383866133842,0.22959456329980746,0.6195072115384616,0.75
0.23167067307692304,0.08017754120879099,0.9740107870071085,0.45811298076923074,1.0
0,0.011395260989010916,0.9815616708345053,0.1340745192307692,0
0,0.09370432692307668,0.9950796274038441,0.16502403846153846,0
0,0.22544452422577396,0.2392269984917043,0.6516466346153844,0.75
0,0.011163867382617392,0.24076128139865413,0.6040144230769231,0.75
0,0.09251279970029949,0.9735312971342364,0.42781250000000004,1.0
0.3301081730769231,0.2129269168331666,0.10065906549380106,0.5887500000000001,1.0
0,0.08163224275724251,0.9868255090497717,0.49551682692307686,1.0
0,0.0017519355644355383,0.2103068982770623,0.30890625000000005,1.0
0.21243990384615385,0.19442907092907138,0.9359413801578302,0.29903846153846153,1.0
0,0.344925636863136,0.9661756152501324,0.5055168269230769,0.25
0,0.3039230144855137,0.9492624738042387,0.3840144230769231,1.0
0.5094350961538462,0.045752497502497595,0.1578621178500986,0.2660817307692308,0
0,0.4043316115702468,0.9078800366300377,0.44772727272727275,1.0
0,0.18522299291617483,0.9466936632607599,0.37017045454545455,1.0
0.8011363636363636,0.7117806965761488,0.1848295454545455,0.20431818181818182,1.0
0.46647727272727274,-0.0534710743801652,0.25320612904252615,0.22090909090909094,0.75
0,0.4823202479338843,0.25863194960120095,0.70625,0
0.1275568181818182,0.08352494096812291,1.0385236767744292,0.14755681818181818,0
0,0.19922195985832356,0.28151372728578616,0.7232954545454545,0
0.497159090909091,0.49742030696576167,0.07102272727272728,0.21931818181818186,1.0
0.7664772727272726,0.3742892561983472,0.07250755066012418,0.37750000000000006,0.25
0.19715909090909092,0.07270897284533655,0.2082298159376509,0.6673863636363637,0.5
0,0.028789551357733135,0.968914627039628,0.3130681818181819,1.0
0.16448863636363636,0.16368462219598595,0.9958230908184963,-0.12136363636363637,0.25
0,0.3941648465171181,0.9127757138694649,0.5036931818181818,1.0
0,0.1929192739079104,0.9660874920534022,0.19431818181818186,0.5
0,0.0061354781582054355,0.1712578148975208,0.6801136363636364,1.0
0.30937500000000007,0.5216518595041335,0.9942684659090921,0.47062500000000035,1.0
0,0.22772535419126338,0.892170656048498,0.4157954545454545,1.0
0,0.18176106847697773,0.9512284779614335,0.38931818181818184,0.75
0,0.01079220779220772,1.0082102272727282,0.08096590909090909,0.25
0,0.23353674734356566,0.9182475337162846,0.42045454545454547,1.0
