contrast,distinctiveness,realism,fidelity,compactness
0,0.16066973286290318,0.061143363034508055,0.5179687500000001,1.0
0,0.34938231816067034,0.2732191313709188,0.8515625,0
0,0.06921913771712167,0.15477724162581696,0.73515625,0
0,0.24365137445719606,0.22231541053921572,0.9085937500000002,0
0,0.036799685949131584,0.09697916666666667,0.18984375,0
0,0.2943473266904467,0.18017378225328595,0.73453125,0
0,0.16951622596153842,0.26127461220866555,0.8093749999999997,0.75
0,0.23383292299937977,0.0962048100490196,0.66296875,0
0,0.11511830218672461,0.0,0.13171875,1.0
0,-0.00884213128101738,-0.0451171875,-0.08671875,0
0.39453124999999994,0.12427787686104226,0.10682019101711197,0.53265625,1.0
0,0.07922805521091819,0.034317555147058816,0.75234375,1.0
0.609375,0.0659877578318859,0.020546875,0.26265625,0.75
0,0.09279645820409431,0.12372305492709905,0.8125,0
0,0.0015162162686104298,0.06786534926470587,0.4912499999999999,0.75
0,0.05091016594292806,0.17571410430948697,0.8585937499999999,0
0,0.21231074558002475,0.03748449900793651,0.32187499999999997,1.0
0,0.12236521983560798,0.11710044576542737,0.55078125,0
0,0.0140164585918114,0.04192424242424242,0.14296875,0
0,0.11529859064826312,0.066796875,0.17343750000000002,1.0
0,0.13365408847704713,0.18116401508520075,0.9210937500000003,0
0,0.26675519540942905,0.20735188899910506,0.7593749999999999,0
0,0.0594445467586848,0.0030361519607843158,0.07968750000000001,0.5
0,0.010091549705335027,0.027851562499999996,0.11796875,0
0,0.15003659080334975,0.04970588427256867,0.45843750000000005,0
0.17890624999999996,0.17049400007754328,0.04211145554236189,0.18546875000000002,0.75
0,0.06773248487903219,0.0809443176308985,0.5139062499999999,1.0
0,0.0027537608560794058,0.040646339465273296,0.9895312499999998,0
0.521875,0.32644812344913154,0.21489334150917455,0.7815625000000002,0
0,0.15834173387096767,0.10090773809523812,0.7515625,0
0,0.26034283886476417,0.12195075757575759,0.7820312500000001,1.0
0.16171875000000002,0.30710321999069456,0.16314490688619948,0.6432812499999999,0.25
0,0.015027188663151345,0.10055726978291317,0.8523437500000001,1.0
0,0.053712391439205885,0.025424808035102144,0.21796875,0.75
0,0.32765440834367254,0.15555015232096547,0.81859375,0
0,0.32274179008995024,0.10915507439864056,0.77625,0
