contrast,distinctiveness,realism,fidelity,compactness
0,0.25857553017683244,0.235546875,0.619375,0.25
0,0.1462705423500769,0.06792422497845291,0.23953124999999997,0
0,0.33468093285494593,0.5212082555723108,0.846875,0
0.153125,0.1414929443234241,0.8817295257282927,0.20062500000000003,0
0,-0.035878235520245993,0.1586723758012821,0.5468749999999999,0
0.10859374999999998,0.2290444003075345,0.053881867576115766,0.6498437499999999,0.25
0.16484375,0.2565991799077398,0.7374851945171701,0.5709375,0
0,0.08802497116863149,0.6640367126906895,0.9121875000000002,0
0,0.01679307086109689,0.33206655494998427,0.9718749999999999,0
0,0.3148597674269605,0.44608557458166836,0.72640625,0
0,0.019957914210661225,0.20890474759615382,0.7304687500000001,0
0,0.04903254741158383,0.457717651607938,0.7912500000000001,0
0,-0.022851662608918483,1.0322277376543412,0.8531249999999998,0
0.007031249999999999,0.03530320989236288,0.7608948863636367,0.48546875,0
0.007031249999999999,0.18386244233726304,0.973714488636364,0.41718749999999993,0.75
0.22734374999999996,0.17647660654792416,0.6336930162705916,0.7099999999999999,0
0,0.5254677088672475,0.34996090189963536,0.8546875000000003,0
0.22812499999999997,0.5786517731291646,0.14018601190476185,0.8457812499999998,0
0.007031249999999999,0.1482050470912353,0.8944745618964371,0.51890625,0
0.007031249999999999,0.10544352255253722,0.8941930465367967,0.51109375,0
0,0.16553370066632503,0.25867506472285884,0.6625000000000001,0
0,0.2498854753972324,0.26908972537878795,0.46781249999999996,0
0.571875,0.018522952972834447,0.09196496212121218,0.28656250000000005,0
0,0.1227491510763712,0.2720802950999594,0.4171875000000001,0
0,0.35036960212711415,0.31785006047873693,0.7140624999999999,0
0.0078125,0.12326050743208614,0.9383085664335663,0.4140625,0
0,0.21155977703741688,0.4090451799528086,0.8078125000000003,0
0.0078125,0.17867840210148647,0.749286963036963,0.7499999999999998,0
0.33125,0.3091195220399793,0.44029720279720286,0.49000000000000005,0.25
0,0.16683391529984623,0.508565313524195,0.8765624999999999,0
0.0078125,0.14669840786776023,0.7689203701086924,0.8890624999999999,0
0,0.047259818682726884,0.8705168269230769,0.85625,0
0.02812499999999999,0.07139808111225016,1.0078414857711733,0.2303125,0
0.4140625,0.10428145822655054,0.900064713730542,0.45406249999999987,0
0,0.21788746155817543,0.8783433672128524,0.5843750000000001,0
0,0.2813945572783186,0.2150191949594523,0.5662499999999999,0
0.0078125,0.07466363403382884,0.9539185944264068,0.34375,0
0.3421875,0.109767026524859,0.2691915038543329,0.12312500000000004,1.0
0,0.32877050230650934,0.3365356070657928,0.9162500000000001,0
0,0.39506382944643764,0.9175683864746365,0.936875,0
0.5187499999999999,-0.1780731435802153,1.060384882045038,0.37749999999999995,0
0,0.12395205984110709,0.49377488689662147,0.8081249999999998,0
0,0.2690665444003076,-0.021348616526876953,0.9539062499999995,0
0.04062499999999998,0.44107048468733995,0.89434989489677,0.8523437499999997,0.5
0.01015625,0.04788309680932864,0.8898024718337213,0.32140625,0
0,-0.028527638070220348,0.05915071639451239,0.07984374999999998,1.0
0,0.09752610840594564,0.24470594509657007,0.671875,0
0,0.015643019605330596,0.2721497194554349,0.9492187500000001,0
0,0.046788105458739127,0.27207170433732936,0.8718749999999998,0
0.01015625,0.11839361225012811,0.8544797043368779,0.6628124999999998,0
0,0.2156844646975909,0.7053986531238365,0.75234375,0
0,0.15767755317785775,0.32914116128754284,0.49265625000000013,0
0.060156249999999994,0.17741863147104053,0.22656803240672727,0.6082812500000001,0
0,0.059750608662224605,0.14688405995046622,0.37656249999999997,0
0,0.10584936410814968,0.1399841266874572,0.09531249999999983,0
0.032812499999999994,0.12132480138390563,0.21248316137659207,0.7879687499999997,0
0,0.28924229561763176,0.21459360250146098,0.7073437499999999,0
0,-0.00017879452844690708,0.07254411604020981,0.44859375,0
0.12109374999999994,0.18160558687852382,0.7309760009955321,0.4674999999999999,0
0.0390625,0.13144120803434134,0.7152684197950737,0.7028124999999997,0.75
0.024218750000000004,0.13919124006919537,0.10064985795454547,0.9306249999999998,0.25
0.11640624999999999,0.06034905977703753,0.7774290229410683,0.27640625000000013,0
0.07734374999999996,0.05767154664274733,0.9497602550635637,0.09031249999999998,0
-0.06640625,0.004747164915427992,1.0403407279478778,0.05953124999999988,0
0.007031249999999999,-0.057803890633008684,1.00662110413344,0.33625,0
0,0.1240737922860072,0.3476871579626514,0.5593750000000001,0.25
0,0.2519849596360841,0.3026539931422745,0.8921875,0
0,0.08286255445925163,0.22491859243697476,0.9062500000000001,0
0,0.14158504452844695,0.8442778473568913,0.6859374999999998,0
0,0.16472442016914404,0.8277120948904036,0.5929687499999998,0
0,0.0033692657611481855,0.07168364838286714,0.3218750000000001,0
0.12343749999999999,0.2520940783572528,0.25914719178391055,0.7003125,0
0.008593750000000002,0.11325522168118914,0.7408461543777427,0.6000000000000001,0
0,0.10876713864684778,0.8861059838598895,0.6385937499999998,0
0.007031249999999999,0.13869650179395185,0.74585513392535,0.7984374999999999,0
0,0.36549525884161976,0.3563129040184961,0.8328125000000001,0
0,0.16163225589441316,0.4524695560770929,0.71875,0
0.04609375,0.05042065767555101,0.044211309523809535,0.315,0
0.07421874999999999,0.41213260026909276,0.30339695894383395,0.6949999999999997,0
0.9171874999999996,0.5291409053049717,0.394232941155046,0.7626562499999997,0
0,-0.10234655304971813,-0.07740155609193439,0.09031249999999996,1.0
0,0.37352339345207586,0.4023675608245921,0.5734374999999999,0
0,0.010879837262942104,0.4365448346883378,0.9890625000000001,0
0,0.07216531586365979,0.20245034525050978,0.4440625000000001,0
0,0.1300691151973348,0.14018511564007888,0.4890624999999999,0
0,0.3036475685545874,0.15833114801864798,0.7093749999999998,0.5
0.0109375,0.08917422155304978,0.8858412420912422,0.37218749999999995,0
0,0.26091507560225546,0.20101869577307369,0.5681249999999999,0
0.3828125,0.0950642298821118,0.22017591783216778,0.49312500000000015,0
0.11250000000000004,0.170731355715018,0.8330034158549785,0.34187500000000004,0
0,0.1145758585340852,0.3295256969472092,0.7156250000000001,0
0,0.38349043759610446,0.23291007169913414,0.9531249999999999,1.0
0,0.26494586109687346,0.3378708217334136,0.7109375,0
0,0.14067905881599183,0.5733097865246424,0.8828125,0
0.0109375,0.16304259033828802,0.7825045818152441,0.45125,0
0,0.1420461462070734,0.10742779356060601,0.3653125000000001,0
0,0.11482893388006153,0.3438508690553728,0.9109375000000003,0
0,0.10827179971809335,0.06939117739898992,0.27499999999999997,0
0,0.334135139031266,0.6107649895334929,0.9474999999999999,1.0
0.05156249999999998,0.16491102319323422,0.8125036985718103,0.8484374999999995,0.75
